title,year,cast,director,rating,total_rating_count,genres
Eternity and a Day,1998,"Iris Chatziantoniou, Eleni Gerasimidou, Themis Gousoulis, Yiannis Mohlas, Pemi Zouni",Theo Angelopoulos,4.38 out of 5,34420,Drama
The Lord of the Rings: The Fellowship of the Ring,2001,"Greg Lane, Bret McKenzie, Sacha Lee, David Weatherley, Phoebe Gittins",Peter Jackson,4.38 out of 5,1963572,"Fantasy, Adventure, Action"
Lawrence of Arabia,1962,"John Bennett, Bruce Beeby, I.S. Johar, Jack Gwillim, Michel Ray",David Lean,4.38 out of 5,243416,"Adventure, War, History"
Sherlock Jr.,1924,"Erwin Connelly, Ford West, John Patrick, Kewpie Morgan, Joe Keaton",Buster Keaton,4.38 out of 5,100959,"Action, Comedy, Mystery"
Love Exposure,2008,"Kamui Sôma, Hidetoshi Kawaya, Kae Mihara, Kazuki Takahashi, Miki Hayashida",Sion Sono,4.38 out of 5,60149,"Comedy, Drama, Romance, Action"
Scenes from a Marriage,1974,"Lena Bergman, Jan Malmsjö, Gunnel Lindblom, Anita Wall, Ingmar Bergman",Ingmar Bergman,4.38 out of 5,45778,"Romance, Drama"
Red Beard,1965,"Chishū Ryū, Terumi Niki, Hiroyoshi Yamaguchi, Yōko Naitō, Hiroto Kimura",Akira Kurosawa,4.38 out of 5,26252,Drama
Satantango,1994,"Gyula Pauer, Zoltán Kamondi, János Derzsi, István Juhász, Rita Deák Varga",Béla Tarr,4.37 out of 5,31210,Drama
It's Such a Beautiful Day,2012,"Don Hertzfeldt, Sara Cushman",Don Hertzfeldt,4.37 out of 5,101670,"Comedy, Animation"
Rear Window,1954,"Gig Young, Len Hendry, Grace Kelly, Wendell Corey, Alfred Hitchcock",Alfred Hitchcock,4.37 out of 5,616648,"Mystery, Thriller"
Life Is Beautiful,1997,"Sergio Bini Bustric, Lidia Alfonsi, Robert Camero, Wolfgang Hillinger, Massimo Salvianti",Roberto Benigni,4.37 out of 5,503272,"Comedy, Drama"
A Separation,2011,"Shahab Hosseini, Sareh Bayat, Sarina Farhadi, Shirin Yazdanbakhsh, Babak Karimi",Asghar Farhadi,4.37 out of 5,143273,Drama
Where Is the Friend's House?,1987,"Ali Djamali, Iran Outari, Mohammad Reza Parvaneh, Agakhan Karadach Khani, Ahmed Ahmed Poor",Abbas Kiarostami,4.37 out of 5,95435,"Family, Drama"
One Flew Over the Cuckoo's Nest,1975,"Danny DeVito, Saul Zaentz, Ken Kenny, Brad Dourif, Dwight Marfield",Miloš Forman,4.36 out of 5,713606,Drama
Paper Moon,1973,"Desmond Dhooge, Vernon Schwanke, Ryan O'Neal, Hugh Gillin, Tandy Arnold",Peter Bogdanovich,4.36 out of 5,79592,"Drama, Crime, Comedy"
The Thing,1982,"Peter Maloney, Joel Polis, Kurt Russell, Thomas G. Waites, William Zeman",John Carpenter,4.35 out of 5,895723,"Mystery, Science Fiction, Horror"
Landscape in the Mist,1988,"Michalis Zeke, Vasia Panagopoulou, Ilias Logothetis, Dimitris Kamberidis, Gerasimos Skiadaresis",Theo Angelopoulos,4.35 out of 5,26103,Drama
All About Eve,1950,"Ralph Brooks, Eddie Fisher, Harold Miller, Paul Power, Barbara White",Joseph L. Mankiewicz,4.35 out of 5,111109,Drama
An Elephant Sitting Still,2018,"Liu Jianmin, Li Qing, He Miaomiao, Shunzi, Kong Wei",Hu Bo,4.35 out of 5,31650,Drama
Army of Shadows,1969,"Denis Sadier, Gaston Meunier, Alain Mottet, Marcel Bernier, Serge Reggiani",Jean-Pierre Melville,4.35 out of 5,46823,"Thriller, History, War"
Inglourious Basterds,2009,"Sylvester Groth, August Diehl, Buddy Joe Hooker, Michael Kranz, Anne-Sophie Franck",Quentin Tarantino,4.35 out of 5,2392315,"Drama, Thriller, War"
Ordet,1955,"Sylvia Eckhausen, Ove Rud, Ejner Federspiel, Gerda Nielsen, Susanne Rud",Carl Theodor Dreyer,4.35 out of 5,30077,Drama
A Man Escaped,1956,"Leonhard Schmidt, Jacques Ertaud, Roland Monod, Jean Paul Delhumeau, Jacques Oerlemans",Robert Bresson,4.35 out of 5,57381,"Drama, Thriller"
Apur Sansar,1959,"Soumitra Chatterjee, Asha Devi, Jiten Bhons, Bechu Singha, Jogesh Chatterjee",Satyajit Ray,4.35 out of 5,23845,Drama
Se7en,1995,"Julie Araskog, Peter Crombie, Morgan Freeman, Leland Orser, Alfonso Freeman",David Fincher,4.35 out of 5,2308772,"Crime, Mystery, Thriller"
Howl's Moving Castle,2004,"Jun Kuwahara, Hiroki Tanaka, Yo Oizumi, Teruo Seki, Kaori Kaneko",Hayao Miyazaki,4.34 out of 5,1674606,"Fantasy, Adventure, Animation"
Good Will Hunting,1997,"Jimmy Flynn, Ann Matacunas, Rob Lyons, Bruce Hunter, Chris Britton",Gus Van Sant,4.34 out of 5,1853284,Drama
Farewell My Concubine,1993,"Ying Da, Lei Han, Ge You, David Wu, Zhi Yitong",Chen Kaige,4.34 out of 5,46447,Drama
The Wages of Fear,1953,"François Valorbe, Antonio Centa, Darío Moreno, Folco Lulli, William Tubbs",Henri-Georges Clouzot,4.34 out of 5,50013,"Adventure, Thriller, Drama"
Three Colours: Red,1994,"Nader Farman, Irène Jacob, Neige Dolsky, Julie Delpy, Frédérique Feder",Krzysztof Kieślowski,4.34 out of 5,149373,"Mystery, Drama, Romance"
City Lights,1931,"Florence Lee, Jeanne Carpenter, Robert Parrish, Leila McIntyre, Tiny Ward",Charlie Chaplin,4.34 out of 5,146078,"Drama, Comedy, Romance"
The Seventh Seal,1957,"Gun Hammargren, Gordon Löwenadler, Nils Whiten, Gunnar Olsson, Ulf Johansson",Ingmar Bergman,4.34 out of 5,302908,"Fantasy, Drama"
The Silence of the Lambs,1991,"Brent Hinkley, Dan Butler, Leib Lensky, Lawrence A. Bonney, Jeffrie Lane",Jonathan Demme,4.34 out of 5,2018841,"Horror, Crime, Thriller, Drama"
Singin' in the Rain,1952,"Jeanne Gail, John Dodsworth, Elaine Stewart, Ernie Flatt, Pat Conway","Gene Kelly, Stanley Donen",4.34 out of 5,458753,"Romance, Comedy"
Late Spring,1949,"Chishū Ryū, Shizuo Kanze, Toyo Takahashi, Gazan Hasegawa, Yōko Katsuragi",Yasujirō Ozu,4.33 out of 5,52281,Drama
Wild Strawberries,1957,"Per Sjöstrand, Gunnar Olsson, Ulf Johansson, Josef Norman, Eva Norée",Ingmar Bergman,4.33 out of 5,139106,Drama
How to Make Millions Before Grandma Dies,2024,"Parnisara Wongmetakul, Rattana Tangthanaeth, Phichai Prommate, Natnapaporn Teerapatmaneechot, Nazznaphazz Tavanukulkit",Pat Boonnitipat,4.34 out of 5,107651,Drama
Amadeus,1984,"Zbyněk Bruthans, Willard White, Pavel Nový, Milan Demjanenko, Ivan Pokorný",Miloš Forman,4.33 out of 5,370713,"History, Drama, Music"
All That Jazz,1979,"Barbara McKinley, Melanie Hunter, Terry Alexander, Eugene Troobnick, Roy Scheider",Bob Fosse,4.33 out of 5,94588,"Music, Drama"
Mirror,1975,"Olga Kizilova, Dionisio García Zapico, Yuri Sventikov, Oleg Yankovskiy, Yuriy Nazarov",Andrei Tarkovsky,4.33 out of 5,142099,"History, Drama"
Before Sunset,2004,"Louise Lemoine Torrès, Julie Delpy, Marie Pillet, Ethan Hawke, Diabolo",Richard Linklater,4.33 out of 5,620195,"Drama, Romance"
Still Walking,2008,"Shohei Tanaka, Ryôga Hayashi, YOU, Hiroshi Abe, Susumu Terajima",Hirokazu Kore-eda,4.33 out of 5,48945,"Drama, Family"
I'm Still Here,2024,"Maria Manoella, Daniel de Almeida, Selton Mello, Pedro Passarelli, Daniel Pereira",Walter Salles,4.33 out of 5,568495,"Drama, History"
Z,1969,"Gérard Darrieu, Jacques Perrin, Bernard Fresson, Maurice Baquet, Yves Montand",Costa-Gavras,4.33 out of 5,38202,"Thriller, Crime, Drama"
No Country for Old Men,2007,"Angel H. Alvarado Jr., Matthew Posey, George Adelo, Milton Hernandez, Johnnie Hector","Ethan Coen, Joel Coen",4.32 out of 5,1451101,"Crime, Thriller, Drama"
Brief Encounter,1945,"Wilfred Babbage, Trevor Howard, Joyce Carey, Valentine Dyall, Avis Scott",David Lean,4.32 out of 5,82065,"Romance, Drama"
To Be or Not to Be,1942,"Peter Caldwell, Shep Houghton, Olaf Hytten, Sven Hugo Borg, Rudolph Anders",Ernst Lubitsch,4.32 out of 5,53184,"Comedy, War, Romance"
Central Station,1998,"Harildo Déda, Sergio Kato, Iami Rebouças, Vinícius de Oliveira, Otávio Augusto",Walter Salles,4.32 out of 5,159734,Drama
The Great Dictator,1940,"Francis Ernest Drake, Manuel París, Henry Roquemore, Harry Semels, Hank Mann",Charlie Chaplin,4.32 out of 5,146831,"War, Comedy"
Before Sunrise,1995,"Harold Waiglein, John Sloss, Peter Ily Huemer, Julie Delpy, Ethan Hawke",Richard Linklater,4.32 out of 5,981842,"Romance, Drama"
